Alpha,Cl,Cd,Cr
"-16,75","-0,9069","0,11931","0,147117356513183"
"-16,5","-1,0046","0,09629","0,192997063019102"
"-16,25","-1,0607","0,08367","0,216487263866203"
-16,"-1,0983","0,07517","0,230474466210127"
"-15,75","-1,126","0,0687","0,239521271803708"
"-15,5","-1,1477","0,06342","0,245596040882524"
"-15,25","-1,1655","0,05898","0,249659724091346"
-15,"-1,1804","0,05515","0,252239191519173"
"-14,75","-1,1931","0,05184","0,253633922930716"
"-14,5","-1,204","0,04899","0,254027971979424"
"-14,25","-1,213","0,04658","0,253437168670028"
-14,"-1,1945","0,04426","0,246030415448828"
"-13,75","-1,183","0,04267","0,239735244502931"
"-13,5","-1,1751","0,04113","0,234328072241118"
"-13,25","-1,169","0,03956","0,229428373523607"
-13,"-1,1622","0,03804","0,224373078094009"
"-12,75","-1,1558","0,03658","0,21940407331365"
"-12,5","-1,1499","0,03528","0,214440188936233"
"-12,25","-1,1272","0,03352","0,206409885366117"
-12,"-1,1117","0,03242","0,199423881466313"
"-11,75","-1,0987","0,03139","0,193008954596422"
"-11,5","-1,0867","0,03038","0,186883021804787"
"-11,25","-1,0757","0,02948","0,180945109326462"
-11,"-1,0559","0,02808","0,173911126906883"
"-10,75","-1,0416","0,02719","0,167570609592541"
"-10,5","-1,0275","0,02637","0,16131857053072"
"-10,25","-1,0125","0,02539","0,155183046479025"
-10,"-0,9985","0,0245","0,149259915451631"
"-9,75","-0,9839","0,02379","0,143176598192064"
"-9,5","-0,9709","0,02284","0,137717957391022"
"-9,25","-0,9573","0,02217","0,131997148605902"
-9,"-0,9448","0,02138","0,126682505848086"
"-8,75","-0,9312","0,02079","0,121109261417426"
"-8,5","-0,9189","0,02007","0,115972519509326"
"-8,25","-0,9043","0,01954","0,110422589968167"
-8,"-0,8911","0,01894","0,105261473043549"
"-7,75","-0,8775","0,01836","0,100139393439169"
"-7,5","-0,8627","0,01787","0,094887826355489"
"-7,25","-0,8472","0,01743","0,089625120378958"
-7,"-0,8318","0,01699","0,084507560728016"
"-6,75","-0,8163","0,01654","0,079520425266798"
"-6,5","-0,8001","0,01614","0,074537641585082"
"-6,25","-0,7833","0,01578","0,069589214054396"
-6,"-0,7661","0,01545","0,06471389242591"
"-5,75","-0,7485","0,01512","0,059946840120685"
"-5,5","-0,7302","0,01485","0,055204934944515"
"-5,25","-0,7113","0,01461","0,050536391363412"
-5,"-0,692","0,01442","0,045946646434897"
"-4,75","-0,6677","0,01422","0,041119878710381"
"-4,5","-0,6253","0,01402","0,035083691539683"
"-4,25","-0,5848","0,01381","0,029566620010046"
-4,"-0,5417","0,01363","0,024190283822151"
"-3,75","-0,5033","0,01341","0,019536106780901"
"-3,5","-0,4602","0,01321","0,014909177206788"
"-3,25","-0,4234","0,013","0,011024634537089"
-3,"-0,3803","0,01277","0,007150865000376"
"-2,75","-0,3431","0,01257","0,003905771677557"
"-2,5","-0,3012","0,01231","0,000839875866767"
"-2,25","-0,2651","0,01208","-0,001662909600059"
-2,"-0,2286","0,01184","-0,003854762445714"
"-1,75","-0,1973","0,01161","-0,005579336333316"
"-1,5","-0,1627","0,01136","-0,007097117722031"
"-1,25","-0,1357","0,01119","-0,008227057183834"
-1,"-0,108","0,01103","-0,009143460182348"
"-0,75","-0,0803","0,0109","-0,009847971646178"
"-0,5","-0,0531","0,01079","-0,010326210114899"
"-0,25","-0,0264","0,01073","-0,010614706493016"
0,0,"0,01071","-0,01071"
"0,25","0,0264","0,01073","-0,010614706493016"
"0,5","0,0531","0,01079","-0,010326210114899"
"0,75","0,0803","0,0109","-0,009847971646178"
1,"0,108","0,01103","-0,009143460182348"
"1,25","0,1357","0,01119","-0,008227057183834"
"1,5","0,1627","0,01136","-0,007097117722031"
"1,75","0,1973","0,01161","-0,005579336333316"
2,"0,2286","0,01183","-0,003844768537444"
"2,25","0,265","0,01208","-0,001666835581635"
"2,5","0,3012","0,01231","0,000839875866767"
"2,75","0,343","0,01257","0,003900973864705"
3,"0,3803","0,01277","0,007150865000376"
"3,25","0,4234","0,013","0,011024634537089"
"3,5","0,4602","0,01321","0,014909177206788"
"3,75","0,5033","0,01341","0,019536106780901"
4,"0,5417","0,01363","0,024190283822151"
"4,25","0,5848","0,01381","0,029566620010046"
"4,5","0,6253","0,01402","0,035083691539683"
"4,75","0,6677","0,01422","0,041119878710381"
5,"0,6919","0,01441","0,045947892807603"
"5,25","0,7112","0,01461","0,050527241201546"
"5,5","0,73","0,01484","0,055195719755995"
"5,75","0,7483","0,01512","0,059926802508363"
6,"0,7659","0,01544","0,06470293195221"
"6,25","0,7832","0,01578","0,069578327366911"
"6,5","0,8","0,01614","0,074526321263705"
"6,75","0,8162","0,01654","0,079508671527053"
7,"0,8317","0,01698","0,084505299255192"
"7,25","0,8471","0,01742","0,089622420531541"
"7,5","0,8626","0,01786","0,09488468818488"
"7,75","0,8774","0,01836","0,100125908346141"
8,"0,891","0,01893","0,10525745841414"
"8,25","0,9042","0,01953","0,110418137219836"
"8,5","0,9189","0,02006","0,115982409667959"
"8,75","0,9312","0,02079","0,121109261417426"
9,"0,9448","0,02138","0,126682505848086"
"9,25","0,9574","0,02216","0,132023092826128"
"9,5","0,971","0,02284","0,137734462151608"
"9,75","0,9841","0,02379","0,143210468092833"
10,"0,9987","0,0245","0,149294645087164"
"10,25","1,0128","0,02539","0,155236429542668"
"10,5","1,0278","0,02636","0,161383073737443"
"10,75","1,042","0,02719","0,167645219206945"
11,"1,0564","0,02808","0,174006531404572"
"11,25","1,0762","0,02948","0,18104265448747"
"11,5","1,0872","0,03038","0,186982705771996"
"11,75","1,0993","0,0314","0,193121349192381"
12,"1,1124","0,03242","0,199569419649886"
"12,25","1,128","0,03353","0,206569855192778"
"12,5","1,1504","0,03528","0,214548408743202"
"12,75","1,1565","0,03659","0,21954880809496"
13,"1,1629","0,03805","0,224520800131402"
"13,25","1,1699","0,03957","0,229624920082852"
"13,5","1,176","0,04113","0,234538173068588"
"13,75","1,1841","0,04267","0,23999669898449"
14,"1,1959","0,04426","0,246369106102667"
"14,25","1,2139","0,0466","0,25363932201556"
"14,5","1,2047","0,04901","0,254183875029455"
"14,75","1,194","0,05186","0,253843723765323"
15,"1,1814","0,05518","0,252469032789487"
"15,25","1,1666","0,05902","0,249910466934297"
"15,5","1,1489","0,06346","0,24587818171569"
"15,75","1,1273","0,06873","0,239845270731439"
16,"1,0996","0,07523","0,230775119070932"
"16,25","1,0615","0,08381","0,216576720097813"
"16,5","1,0046","0,09664","0,192661476111898"
"16,75","0,9052","0,12012","0,145851790055103"
